StartDate,DistributionChannel,Progress,Duration,Finished,Consent,Age,Gender,Gender_identity,Gender_other_text,Teacher,Subject_prog,Klartdukankoda,Soc_stereotype_tech,Soc_stereotype_care,Pers_stereotype_tech,Pers_stereotype_care,Q1.RP1,Q2.RP2,Q3.RP3,Q4.RP4,Q5.RP5,Q6.RP6,Q7.RP7,Q8.RN1,Q9.RN2,Q10.RN3,Q11.RN4,Q12.RN5,Q13.RN6,Q14.RN7,Q15.LP1,Q16.LP2,Q17.LP3,Q18.LP4,Q19.LP5,Q20.LP6,Q21.LP7,Q22.LN1,Q23.LN2,Q24.LN3,Q25.LN4,Q26.LN5,Q27.LN6,Q28.LN7,FL_6_DO
44221.50356,anonymous,100,78,1,1,50,2,2,-99,3,1,3,2,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44222.08037,anonymous,100,64,1,1,35,1,1,-99,3,1,3,3,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44224.16277,anonymous,100,478,1,1,62,2,2,-99,3,1,3,2,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29C2162,21C1339,20C2615,25C91,26C1175,27C2004,30C1172,17C1125,22C1126,18C1021,17C886,20C3716,21C1532,24C1469,26C976,28C873,27C793,22C985,25C949,30C844,END","13C1442,4C899,11C733,7C1044,7C867,5C668,10C651,11C682,2C660,1C682,12C732,15C843,3C732,4C782,10C670,9C645,12C671,1C631,2C672,13C630,END","10C1284,26C1870,15C2184,20C1558,12C1463,28C1700,3C1981,24C1156,5C1450,21C1525,11C988,29C2606,9C1084,22C1049,1C1067,17C913,4C1364,25C1544,7C1365,27C1936,END","3C1112,24C1104,13C1597,26C991,10C1028,28C2157,11C1075,26C1829,7C1034,27C1487,10C1240,18C1024,12C1278,20C1926,5C1064,30C1346,2C1001,28C1617,4C792,22C1300,15C947,25C1663,11C1552,30C1276,9C936,20C1905,12C871,21C944,13C957,17C1093,2C853,17C782,3C792,29C1292,1C979,21C931,1C812,18C936,5C733,27C1316,END","24C1493,21C1025,22C752,28C832,26C871,20C1157,28C804,28C732,29C995,18C782,28C834,30C1564,18C722,18C712,21C761,21C821,27C1046,20C1319,24C794,26C772,27C910,29C807,18C729,27C899,17C831,29C955,25C885,25C638,17C672,17C773,17C642,30C732,20C997,22C835,25C792,26C802,22C722,27C853,24C661,30C701,END","11C727,18C702,10C732,28C792,3C782,20C1050,13C712,26C802,4C782,29C972,5C702,24C1682,2C802,21C742,15C681,22C751,12C731,27C960,7C641,25C800,END","12C726,17C742,2C681,20C731,1C622,21X1765,4C1039,24C823,15C853,24C812,13C691,26C1178,15C832,25X1614,9C1376,29C895,11C1209,17C791,12C1021,20C1179,7C783,18C914,2C712,25C1118,4C762,30C1118,3C751,28C1306,10C751,22C843,10C1140,26C832,5C752,27C803,7C751,18C925,13C1150,28C1183,1C782,30C1342,END",IAT4-IncompatibleFirst[TargetAonLeftwithNeg]
44224.16705,anonymous,100,428,1,1,51,2,2,-99,2,1,3,2,4,3,3,"26C2791,17C1286,24C1035,22C854,30C2133,26C1043,21C1013,25C928,22C814,18C1149,30C806,28X2184,29C1164,20C1154,27C1904,18C961,25C1431,24C1063,29C956,20C869,END","9C1116,2C639,2C750,3C697,5C596,12C683,4C900,1C957,11C1366,15C783,15C649,9C703,12C600,13C553,4X1315,10C803,7C729,10C739,3C691,5X1276,END","4C1466,26C1090,13C1263,22C925,11C1823,25C894,5C762,18C888,1C1053,17C969,15C810,27C944,7C757,29C1002,9C852,20C716,2C1011,24C996,10C691,30C743,END","12C1116,18C708,10C822,17C868,5C655,28C841,5C656,26C827,13C887,29C1950,10C631,20C707,1C1044,25C841,12C708,27C878,3C857,22C925,4C898,21C922,9C679,26C1695,2C850,30C893,7C782,17C1015,9C729,18C644,11C659,27X1134,15C770,25C702,2C708,24C836,7C886,28C742,15C887,20C710,1C674,24C840,END","20C1745,25C691,25C603,29X1290,17C891,24C1079,18C825,21C637,18C541,21C560,29C602,22C667,26C721,22C772,28C692,21C737,18C875,24C781,27C735,27C708,25C839,26C550,30C627,30C569,25C665,27C630,26C493,17C605,20C797,24C877,22C580,22C528,17C661,29C748,26C712,28C537,30C536,20C633,20C803,28C724,END","11C781,22C786,15C686,27C1782,3C1141,29C885,2C621,28C680,13X1379,18C1069,7C711,30X1425,5C1120,21C1051,4C1649,20C1273,12C706,17C789,9C648,26X1246,END","5C1534,29C977,2C626,24C791,13C852,25C735,9C928,26X3066,12C965,30C772,15C856,22C1376,11C724,18C688,13C677,17C1016,1C847,17C941,1C780,21C865,15C640,25C876,4C764,27C778,10C752,30C736,9C716,24C819,11C727,28C718,4C674,20C894,7C768,21C837,5C643,27X1222,2C874,20C686,3C811,28C773,END",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IAT1-CompatibleFirst[TargetAonRightwithPos]
44224.16837,anonymous,100,544,1,1,56,1,1,-99,3,1,2,3,4,3,3,"27C2473,18C1432,29C1093,22C1125,27C1059,18C1513,17C1096,29C1251,20C990,26C1292,17C875,21C977,30C1909,24C1376,28C982,26C828,25C858,24C826,30C1754,21C1713,END","10C1402,11C1413,1C747,7C842,10C811,4C922,1C819,4C832,2C714,5C718,9X1540,12C1321,13C885,2C916,15C869,12C982,5C854,15C900,3C742,9C825,END","4C1301,17C971,3C1927,21C1558,5C1064,20X3095,13C989,27C994,15C870,30C1454,11C895,26C1059,7C848,22C906,10C778,28C993,12C924,25C1224,1C730,24C947,END","5C1219,17C806,1C665,30C1009,7X1259,17C856,9C678,20C1077,10C743,27C1337,2C1049,18X1210,3C810,22C1215,3X1134,26X934,15C1036,27X1419,9C1012,25C900,13C969,26C780,10C694,24C840,7C1057,29C1400,11C1260,28C955,12C771,29C868,1C791,22C810,2C767,24C771,4C684,30C845,15C751,21C880,11C973,18C810,END","29C1662,22C875,18C847,20C926,26C774,24C864,25C1141,28C635,21C872,30C733,22C728,28C756,30C762,27C722,18C776,27C1298,26C676,29C945,17C795,22C1211,21C912,30X847,29C1973,18C877,28C1078,17C882,29C1040,20C977,25C1272,21C1312,25X1761,24C1643,24C1080,18C1139,27C833,26C719,24C1062,20X2404,26C936,17C808,END","2C2044,24C2043,3C1049,20C1050,1C1282,28C1730,9C1018,22C2018,4C1370,21C1095,7C882,26C1481,13C1055,18X1500,11C1802,30C1287,15C1783,29C1171,10C1062,25C1361,END","4C1267,20C1261,1C687,26X1479,9C1037,29C1009,15C1086,29C733,13C855,18C1083,12C1056,27C1082,10C1259,28C1053,10C902,17C1336,2C947,24C1011,7C912,25C1180,11C1098,17C1128,5C794,27X1369,13C1480,22C1261,4C895,21C2201,12C1351,20C1812,7C1040,30X1720,3C256,21C1793,9C2030,18C1442,5C707,30C1775,2C1067,26C1097,END",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IAT1-CompatibleFirst[TargetAonRightwithPos]
44224.2111,anonymous,100,469,1,1,52,2,2,-99,3,1,2,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28C1555,26C860,28C830,29C1020,27C1318,26C946,17C1066,27C920,22C1064,21C1685,24C839,17C881,24C825,20C951,18C963,30C756,25C895,30C614,21C861,22C806,END","1C1236,10C728,9C654,3C723,12C581,15C700,10C702,13C692,7C690,11C632,3C667,13C620,12C822,7C669,9C560,2C846,5C700,5C732,1C754,4C712,END","7C1048,21C862,11C709,25C639,15C597,18C864,10C646,27C740,9C604,22C774,5C730,26C861,3C713,24C869,2C668,28C805,12C648,20C755,1C691,30C722,END","2C710,26C625,5C655,26C787,15C713,29C754,10C739,28C761,5C908,18C816,11C573,24C730,7C848,22C742,12C654,28C675,11C674,25C755,2C636,17C708,4C699,20C993,1C673,27C909,7C906,18C865,9C624,30C715,9C556,25C696,15C539,21C706,13C770,29C953,13C686,22C780,4C804,21C1089,3C595,24C671,END","24C764,20C660,22C591,26C663,21C701,21C534,26C804,30C930,27C765,17C677,28C803,25C804,25C866,29C671,22C647,20C657,21C771,28C789,17C668,27C796,30C717,21C648,22C628,18C648,25C726,18C692,27C807,20C567,29C1143,29C796,18C680,17C587,26C751,30C724,24C653,20C586,26C658,30C692,24C595,28C754,END","4C1102,27C1501,2C978,25C999,5C1013,28C965,7C996,17C825,10C674,26C937,3C726,20C1403,12C633,21C884,13C687,22C749,9C609,29C910,11C674,24X1771,END","3C1417,28C1132,9C776,30C795,1C880,29C1211,11C1003,22C1004,15C819,21C931,10C594,17C744,13C639,18C942,2C864,27C863,10C812,18C908,3C898,25C1366,7C822,29C1342,12C813,22C732,12C665,25C804,1C664,24C1008,2C739,24C1161,4C785,17C885,5C747,26C1127,5C910,26C962,9C729,20C1008,15C711,30C820,END",NA,NA,NA,NA,NA,NA,NA,IAT3-CompatibleFirst[TargetAonLeftwithPos]
44224.26152,anonymous,100,588,1,1,-99,2,2,-99,3,1,3,2,4,3,3,"20X7481,20C1397,18C1598,30X6031,21X5744,17X2840,26X1874,26C1810,22X2139,29X2435,22C868,29X2565,28C731,24C1616,25C1900,30X2136,24C1262,27C1923,18C1136,27C1757,END","7C4052,15C1171,1C1221,10C937,13C881,1C891,2C905,4C800,5C710,2C668,3C779,4C721,11C807,13C677,11C679,3C838,10C701,12C1279,9C709,15C761,END","3C5262,26X2509,11C4081,18C1195,13C1429,28C1274,1C1329,20C1482,5C1018,22C1094,15C811,30C1163,12C818,24C1104,2C968,29C1403,10C826,17C1000,7C1060,25C891,END","4C1669,22C1063,12C821,27C959,2C825,18C776,15C754,22C953,4C965,21C913,13C792,25C988,10C932,21C1348,7C1048,17C779,5C799,28X2023,1C1049,26C979,3C812,20C1310,3C741,18C862,5C631,29X2234,9C1714,26C773,12C837,24C938,11C750,30C830,2C1331,30C836,9C1082,17C1171,13C829,28C1845,10C873,27C1898,END","24X3390,21C1219,24C1333,30C889,28C787,25C717,28C771,17C704,18C919,29C1071,29C720,22C812,20C720,17C793,20C824,22C1330,24C795,26C884,18C922,21C924,26C1029,25C864,22C1126,30C955,26C1314,28C1064,26C690,29C735,22C935,29C782,25C708,21C742,24C831,27C874,27C872,20C1180,27C808,30C842,17C864,18C843,END","15C1245,25C1312,10C1375,21C2646,9C1090,27C1341,3C802,17C1288,12C788,18C967,4C862,22C962,5C812,29C1636,1C783,30C1192,2C821,20C1025,13C843,26C989,END","3C2407,22C984,11C1068,30C1535,15C921,29C1653,12C841,18C947,10C777,20C1570,7C800,26X2635,12C917,25C1465,9C769,24C1444,13C777,27C982,7C1123,17C1557,9C1398,17C922,11C1343,25C2624,13C922,24C3172,4C3581,21C1458,1C1214,27X1865,4C1082,21C4734,2C2669,26C1370,2C654,28C745,5C718,29C821,1C621,22C781,END",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IAT1-CompatibleFirst[TargetAonRightwithPos]
44224.27273,anonymous,100,501,1,1,61,2,2,-99,2,1,1,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18C1550,22X2712,22C837,28C1072,24C1080,27C854,21C1033,20C1558,17C778,25X1403,28C1116,29C943,20C1015,17C868,30C755,27C833,24C893,26C840,29C1186,25C926,END","3C1300,9C654,3C805,1C635,5C688,11C738,10C604,13C714,1C753,7X1222,4C1270,12C874,13C851,11C737,10C674,4X1258,15X1280,15C659,2C733,7C976,END","7C1017,29C1206,9C1804,30C1244,5C907,18C1266,13C1273,21C1602,3C879,25C1174,15C905,28X1481,2C901,27C1189,11C833,20C848,4C847,24C1445,10C1084,17C739,END","13C900,25X3666,2C836,30C739,4C733,24C887,5C799,29C1392,3C774,20C1045,7C866,18C1387,1C700,20C876,5C736,26C918,1C970,21C856,15C983,27C779,10C817,21C771,7C677,17X1208,13C865,18C822,15C817,22C1032,2C839,24C867,11C870,28C907,10C726,29C861,12C805,25C927,9C833,30C963,12C720,28C869,END","21X1789,28C1067,30C954,27C717,28C723,25C908,28C821,20C905,27C939,25C700,18C794,17C810,30C685,24C1197,26C1297,26C796,20C810,18C1110,24C766,26X1253,30C367,21C970,24C1040,22C826,29C801,22C791,30C1052,24X1184,29C981,17C700,17C672,20C751,26C698,18C944,25C1079,27X1464,21C811,20C1573,22C686,29X1182,END","1C1076,20C1253,7C875,29C1004,4C788,27C881,12C880,24C954,13C816,30C928,15C708,28C842,3C949,17C637,11C816,21C1329,5C858,22C738,9C720,25C1227,END","4C947,29C851,12C778,30C713,9C776,17C812,7C871,20X1530,10C821,30C941,5C774,24C911,5C702,17C884,10C825,29C883,1C787,18C802,13C905,22C1144,3C968,27C1527,12C872,25C1174,7C758,28C1081,11C887,26C1143,4C838,21C764,15C954,20C1469,1C686,27C1018,2C753,22C805,15C956,25C1045,9C786,18C1402,END",IAT4-IncompatibleFirst[TargetAonLeftwithNeg]
44224.47653,anonymous,100,2580,1,1,60,2,2,-99,2,1,1,3,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30C1344,24C1131,25C1571,28C1082,18C1181,29C1016,26C1603,17C988,27C1240,28C1044,20C1339,21C1176,22C962,30C999,21C1223,22C1077,26C859,18C986,24C1010,27C914,END","5C1127,2C904,5C755,1C954,9C978,9C958,2C826,10C859,4C1016,3C1113,10C912,4C846,13C708,11C840,13C873,7C946,15C1172,15C1127,12C819,1C1109,END","5C1587,20C1454,7C1038,17C1074,10C900,28C833,12C744,21C1287,15C958,24C1207,11C1124,25X3729,3C1591,29C1333,2C1089,26C1228,9C1352,18C1323,4C1585,27C1043,END","3C1069,22C965,13C874,20C1354,15C1010,30C1112,3C876,18C1331,7C1180,28C1055,15C1044,17C996,11C899,20C1148,9C888,29C1501,5C854,30C989,5C878,25C970,10C1036,26C901,4C996,17C1097,9C840,24C1058,2C1079,18C894,11C781,26C1105,2C973,27C1451,1C931,21C1507,12C849,28C1089,10C953,22C959,1C860,27C1018,END","22C1596,26C999,30C919,26C959,24C917,21C1318,20C1442,18C750,17C927,29C1332,28C708,22C930,22C843,29C1137,26C981,20C799,27C926,22C1186,25C1144,25C816,20C1012,30C1128,27X2388,18C1347,20C1723,24C1016,21C989,17C930,25C1034,18C906,27C1020,28C1246,30C797,29C930,21C881,24C847,28X1833,26C1424,27C2048,17C944,END","12C1999,30C1335,2C1515,28C1406,9C1194,17X2104,4C1453,20C1317,7C1661,22C1218,11C1329,26C1448,10C985,25C1035,3C1060,21C2258,13C1695,18C1095,1C1104,29C1526,END","1C1344,20C1554,5C1236,26C1435,15C1467,26C1599,2C1227,25C1098,12C1193,17C1026,9C1119,28C1150,10C1036,24X2369,13C1861,21C1234,13C1079,25C1308,4C1160,21C1270,15C1848,27X1751,4C1859,30C1318,1C1302,29C1816,7C1392,22C1277,3C1158,17C2830,12C1126,22C1309,7C1212,28C1669,11C1587,20C4361,9C1159,18C1423,2C998,27C1258,END",NA,NA,NA,NA,NA,NA,NA,IAT3-CompatibleFirst[TargetAonLeftwithPos]
44224.54225,anonymous,100,510,1,1,61,2,2,-99,3,1,3,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,"18C1635,27C963,17C891,28C1104,22C1223,27C1172,26C1002,21C1021,25C1091,18C980,28C1053,30C1138,20C2010,26C1037,22C958,29C1971,25C1416,21C1097,20C1043,24C1062,END","9C1794,5C846,3C1533,10C853,7C1344,11C1193,15C1389,3C965,4C1343,1C824,12C930,1C1337,9C819,7C975,15C796,11C986,5C909,13C879,10C1039,2C985,END","13C1660,21C2891,3C1697,29C1689,15C1060,22C1907,9C919,18C1212,7C1297,17C1351,2C1500,30C1200,5C1008,24C1059,1C1051,28C1305,10C1000,25C1245,11C901,26C1625,END","13C1411,27C1578,11C884,22C1068,4C968,21C2143,11C1004,26C1035,10C1002,22C1051,4C1051,17C1048,9C1230,24C2088,1C1289,18C1009,2C841,26C1079,5C930,29C1268,9C790,25C2038,1C841,28C1034,15C858,21C1036,3C1026,18C836,10C1258,25C972,15C1062,27C1125,7C1047,30C1048,7C1066,20C963,12C1245,24C904,2C838,29C1018,END","22C910,27C829,17C723,30C682,28X1854,29C1066,22C1306,20C1173,21C825,26C767,25C1390,17C958,18C855,21C1599,18C827,27C948,24C1004,24C1068,30C810,25C1146,22C893,25C1086,17C918,18C878,29C804,26C1286,24C916,28C1102,26C716,25C940,30C798,28C748,17C740,20C919,18C800,21C812,29C848,27C977,20C947,26C902,END","12C886,21C1318,15C926,17C991,7C1040,27C1013,4C930,26C1006,11C773,30C712,1C702,25C979,2C716,24C851,3C731,22C949,13C788,29C881,10C738,18C915,END","15C1478,17C788,12C741,29C854,5C835,18C783,9C751,30C800,2C745,24C826,3C926,29C920,2C758,26C730,12C716,21C840,10C810,22C891,10C671,26C922,1C813,28C930,13C783,25C963,11C721,24C835,15C819,27C1051,3C948,25C1291,11C781,28X1578,4C1104,21C847,5C801,20C776,7C793,17C771,4C867,18C803,END",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IAT2-IncompatibleFirst[TargetAonRightwithNeg]
44224.59094,anonymous,100,407,1,1,34,2,2,-99,3,1,3,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24C3167,30C954,18C849,26C854,21C1010,21C841,18C717,29C1483,28C902,29C779,27C714,22C912,25C731,20C1177,28C641,22C695,20X1718,30C792,26C912,17C634,END","13C1523,7C756,15C733,2C919,10C763,11C770,5C655,1C742,15C608,4C693,4C702,10C646,12C762,7C569,13C735,11C757,9C878,1C676,2C737,3C653,END","1C1320,30C797,3C706,29C1497,12C671,17C622,9C672,24C910,7C796,28C1245,10C698,21C708,5C723,26C737,15C759,22C708,11C659,25X1170,2C663,18C668,END","9C835,18C747,10C634,28C701,4C765,30C691,9C630,17C697,15C669,29C746,3C642,30C616,13C641,24C661,2C564,18X1104,1C809,25C790,13C761,28C768,1C618,20C728,5C663,26C688,11C616,20C1207,12C616,21C700,15C591,26C752,5C573,25C826,11C682,27C763,7C688,17C624,2C690,21C774,3C594,22C639,END","27C1006,27C618,30C774,20C704,28C760,22C660,28C812,18C595,24C666,25C831,18C511,29C702,18C587,25C633,21C758,20C591,21C636,29C600,17C641,24C1442,20C630,27C614,24C625,18C634,30C722,20C662,26C852,26C643,29C617,22C939,26C774,28C788,27C736,21C661,28C903,30C725,17C641,22C743,25C918,17C708,END","12C983,21C1170,10C714,28C958,15C843,17X1507,3C920,26C657,4C686,20C1053,13C627,24C624,2X1314,25C1754,1C668,30C765,11C774,27X1374,7C681,22C1180,END","11C834,17C818,13C555,29C682,10C744,18C609,2C762,26C720,1C619,18C684,15C520,25C793,9C719,24C828,7C762,22C676,12C704,27C828,5C597,20C744,5C746,25X1338,9C909,20X1601,10C1108,17C751,7C836,21C740,3C765,29X1681,4C966,26C1264,4C717,21C731,15C588,27C1135,12C1040,30C856,3C670,28X1527,END",NA,NA,NA,NA,NA,NA,NA,IAT3-CompatibleFirst[TargetAonLeftwithPos]
44218.13029,anonymous,2,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44225.13712,anonymous,100,370,1,1,32,1,1,-99,3,1,3,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26C2046,29C1462,27C804,28C960,24C678,21C643,25C746,22C630,20C913,18C763,18C654,26C698,24C681,29C897,27C595,30C602,17C595,30C611,22C658,21C766,END","5C689,9C550,1C563,10C673,12C562,11C611,4C616,10C634,3C630,1C559,7C708,11C686,13X1219,3C697,2C742,15C697,5C566,15C621,7C661,12C603,END","11C756,17C736,15C602,27C609,5C736,29C1036,9C634,28C915,12C780,22C973,1C624,25C859,10C583,26C700,3C581,24C565,2C724,20C856,7C746,18C676,END","12C592,29C929,13C583,30C603,10C558,22C577,5C535,25C798,7C650,27C672,11C771,27C714,2C620,28C868,1C604,28C697,4C576,18C531,15C561,20C817,13C709,20X1470,5C709,30C675,12C760,17C699,10C623,21C700,11C744,24C769,1C841,17C752,3C586,21C789,3C618,26C682,7C613,25C847,9C621,24C670,END","20C770,21C686,27C773,17C764,28C951,24C673,25C1332,28C809,27C618,25C644,28C615,18C558,21C586,17C544,22C689,18C619,26C667,30C730,24C778,26C1030,28C928,20C951,30C700,17C540,27C627,29C713,29C609,30C847,20C763,21C600,20C747,18C564,25C698,22C606,18C596,24C743,29C848,22C799,26C667,27C780,END","12C1016,30C841,11C820,26C1112,4C976,17C906,3C925,25C1035,15C831,24C1016,10C1153,22C844,9C677,18C673,7C920,28C700,1C771,20C992,5C809,27C722,END","11C777,25C805,11C644,28C827,5C738,24C827,13C628,20C819,12C672,17C739,3C854,21C745,1C780,21C709,15C730,30C694,2C606,25C1795,4C698,18C925,7C747,26C887,3C684,26C780,5C613,27C702,15C653,28C700,10C630,22C617,9C646,29C1110,9C723,17C1092,1C684,20C1024,12C599,18C684,7C746,29C806,END",NA,NA,NA,NA,NA,NA,NA,IAT3-CompatibleFirst[TargetAonLeftwithPos]
44218.25941,anonymous,2,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44218.32451,anonymous,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44218.57399,anonymous,33,35,0,1,50,2,2,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44221.22846,anonymous,26,10,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44228.3041,anonymous,100,413,1,1,43,2,2,-99,2,1,2,1,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18C1937,17C1232,27C1641,17C1225,18C997,20C1098,27C1339,28C1089,25C1137,25C1006,21C1061,20C1010,30C921,29C1214,26C1092,24C1543,22C1270,29C1075,26C898,22C1049,END","15C1702,12C920,10C1022,5C1104,2C1055,3C757,13C876,5C1188,4C1017,10C801,11C891,3C851,9C1097,7C899,1C916,15C853,4C790,2C770,9X3708,13C838,END","11C1552,21C1264,9C1125,28C1234,7C1285,24X5231,5C2216,20X4764,3C2046,27C1003,15C1295,26C1837,2C1023,29C2299,1C1242,25C1198,12C819,17C896,10C1164,22C1038,END","12C1004,21C1708,1C1100,24C983,4C914,30C1063,9C799,22C965,12C829,28C932,7C864,24C910,10C886,22C866,1C925,27C990,3C820,17C845,2C944,30C991,11C915,25C1701,7C792,20C1004,3C1074,26C924,5C1074,29C1434,15C1628,27C1000,10C775,21C869,2C1445,29C1030,9C812,18C876,11C858,18C946,13C849,28C1366,END","30C979,29C1115,26C907,18C863,20C957,20C718,22C767,29C1043,30C1197,17C935,27C831,22C1348,25C3487,22C848,27C907,25C1381,24C1028,28C1050,29C958,27C843,25C768,22C921,20C948,28C1111,26C955,28C1173,26C711,24C909,18C1064,21C799,27C956,17C856,17C776,30C781,21C1178,24C900,28C1162,21C1089,18C902,24C930,END","13C1756,20C2338,5C991,29C2188,9C1972,17C1781,11C985,25C1380,10C1864,24C1641,4C1394,27C1503,3C1265,21X2743,12C1390,28C1823,7C1576,18C1789,2C1160,26C1900,END","4C1206,24C1579,13C1256,30C1541,11C1140,18C1454,2C1208,20C1427,15C1057,25X2255,9C1195,26C1151,3C1307,27C1367,15C1697,22C1764,7C1286,28C2374,1C1124,24C1499,4C1352,25C1273,3C983,30C1498,10C1123,17C1590,1C1194,29C1536,5C867,21C1210,5C937,20C1623,10C1230,27C1686,12C1587,21C1497,13C1237,17C1425,12C1084,26C1417,END",NA,NA,NA,NA,NA,NA,NA,IAT3-CompatibleFirst[TargetAonLeftwithPos]
44228.39288,anonymous,100,554,1,1,61,2,2,-99,3,1,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28C5827,20C1594,22C1216,25C1043,21C1326,30C1134,21C1255,17C1208,25C1135,27C1227,27C1086,26X2838,18C1651,22C1200,24C985,17C1209,29C1273,20C1424,29C1944,26C1046,END","15C1231,2C949,5C1008,11C953,15C826,11C761,12C762,4C895,13C855,13C708,2C1031,9C695,5C812,10C706,7C1049,7C736,1C916,12C816,1C848,3C706,END","2C1089,26C1075,7C1013,25C956,4C1000,29C1524,11C971,24C967,15C783,22C997,1C979,21C1156,13C788,20C1171,12C909,17C932,10C855,27C1695,5C1819,28C1129,END","13C876,29C830,15C631,21C884,15C717,28C1271,7C772,17C831,5C1013,24C1054,11C738,28C854,7C847,27C1045,10C833,26C1004,9C756,22C1610,5C1162,25C907,2C839,17C951,1C853,27C966,2C909,25C911,13C732,26C798,10C623,22C838,3C758,18C860,12C689,30C912,1C803,20C1240,4C870,18C882,9C777,21C1106,END","24C1130,21C817,20C918,30C955,17C787,24C767,28C908,20C801,27C999,17C681,21C877,29C1024,29C789,25X1957,22C919,30C1027,28C972,30C909,21C983,30C928,22C1004,26C1083,26C698,17C876,17C736,25C1352,24C1136,18C936,28C945,29C1528,22C801,26C976,18C889,27C1053,24C825,18C1021,27C1006,25C839,26C878,20C993,END","12C906,21C1427,9C792,28C951,11C1003,27X1622,3C1131,29C2054,4C1271,20C1461,1C1677,25C1809,13C1479,17C1024,2C790,30C1262,10C1003,22C1110,5C816,18C1816,END","15C855,20C1254,10C706,21C817,5C808,26C877,13C794,25C973,7C1494,30C952,13C723,27C978,5X1782,17C1038,12C867,17C1039,4C949,28C867,2C1255,18C1282,9C1694,27C1167,12C822,22C1264,7C819,22C1065,3C917,25C1190,11C765,24C1030,2C853,18C803,10C888,29C1099,15C827,24C1263,1C789,29C1061,1C949,26C956,END",NA,NA,NA,NA,NA,NA,NA,IAT3-CompatibleFirst[TargetAonLeftwithPos]
44221.44089,anonymous,2,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44221.48705,anonymous,2,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44221.5273,anonymous,46,138,0,1,50,1,1,-99,4,1,1,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
